Song IDs,Danceability,Energy,Speechiness,Acousticness,Tempo
3lCfyDeaEYxEvJSnhv1ek3,0.505,0.911,0.0624,0.0315,81.978
5IPT4Noqvo7bsfbWUOHcG4,0.576,0.782,0.0346,0.0123,87.971
03CbQgFxnBFoaaVJTfEqMD,0.615,0.858,0.0396,0.00393,97.038
1Yi8XPnCPoimWwqxwm3uz9,0.481,0.765,0.0388,0.00381,102.829
0KcHwAnK9I7ieGVaRJICxT,0.423,0.792,0.0396,1.49e-05,119.974
3NyovXfcpc8PDWWKH7xEDs,0.568,0.961,0.065,0.00428,148.126
6xCHPen14yg3lJrg7mWf10,0.525,0.957,0.0689,0.00202,97.445
2CEjWJ4lPiodKXXS2bhVyP,0.557,0.886,0.0378,0.000125,127.982
7qHPOydWy2c3iKsibA31ch,0.538,0.728,0.293,0.126,188.003
2gLkzq894rt2gR4lvZpqE5,0.571,0.677,0.0373,0.0231,128.008
6wpHmxmxPa3N3Gi3aGdTJL,0.481,0.944,0.231,0.00926,165.02
5xlUcf5txiXDgPleHzkm8s,0.676,0.747,0.0342,0.177,106.021
1OKQIvaO7yn7R2BpdUFG7D,0.552,0.935,0.0623,0.0174,74.954
7DPQwyMQADl9Y8oSvSVpfg,0.672,0.899,0.0323,0.22,139.01
6u4IPQPDP1sJMEUA4xqIi5,0.525,0.765,0.259,0.0115,140.233
03kgiS0813IuHfVMZix7hT,0.626,0.7,0.0305,0.00149,101.016
2mVFo8BJ6ZPh82QAOpCUbT,0.547,0.944,0.0507,4.81e-05,93.966
38qsRkTKBEHhy8DEfT3vig,0.565,0.85,0.0366,0.00555,92.01
3ZZKg4Xt5PNtihSJS722JS,0.619,0.696,0.0315,1.89e-05,125.986
64gbzSMPloO2SNBTk3PG3h,0.57,0.723,0.0386,0.00238,145.001
6YQUuoMnRIMaOmouYoMfQr,0.552,0.804,0.0303,0.00598,95.98
1SNipdzMky2C2LwvoVRzsv,0.666,0.775,0.0979,0.0226,144.998
7dNDyDsDdN2X2n0cWIon5e,0.5,0.675,0.043,0.0185,122.813
4E3WT2j2DDQG3QPVCevYEK,0.526,0.758,0.0337,0.00146,127.72
4sx0VBcGm3TSIwfTcmFOgc,0.594,0.948,0.042,0.0497,109.985
7vIdRrMklCkr8fwP6kvw3m,0.338,0.806,0.0767,0.00343,160.821
7KLmBGIrxaOaoTcUQrLKub,0.4,0.792,0.0368,0.000449,117.819
74drJLr20XF1f4yqyNPRSZ,0.503,0.709,0.0431,0.204,143.113
5N7bNQxsnCBsHsYqyiKVO4,0.532,0.845,0.0292,0.000502,92.506
27wvnSTpsyS9k06aDtXvt8,0.55,0.936,0.078,0.000207,158.02
6Y7vgyXBoedIKgvmZSYXMw,0.637,0.636,0.109,0.011,75.276
2nqwxzn7svkN30dVGbXdWf,0.749,0.723,0.0432,0.0563,108.999
1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,0.0618,0.193,82.014
3hQyytc08DLPP6vh7BX89p,0.553,0.807,0.0431,0.0123,152.101
1pbyc2rbpwxZjCbKC2X7UV,0.618,0.834,0.0566,0.00364,136.033
1YFxTkX1asVS76GynrhCjO,0.451,0.865,0.044,0.0103,172.153
223Ng7eyUcCmFwX9lZdqjD,0.579,0.778,0.164,0.0158,166.006
5YVMcqVtrNuy41qRyu55ag,0.586,0.951,0.209,0.00461,130.009
3RJXIte2IV8xArJYKD5qrf,0.535,0.842,0.154,0.00151,126.215
1rFAG22RkvaM6BlpWQoZ47,0.512,0.884,0.168,0.0016,154.019
3ZCTAoFsYaWTWGX8IH07Cf,0.27,0.931,0.232,0.0139,124.608
2sHPKFtVy4Etpumo9Z9psd,0.568,0.916,0.0943,0.115,129.981
6GC9ktyFFHVaFA1qlE2zzi,0.343,0.91,0.0648,0.00136,163.975
6QKtCL5SUseSpvEMJpJPOa,0.601,0.676,0.0926,0.00414,167.92
7jmu6smJmTbwuos76ncNZ8,0.658,0.599,0.0367,0.124,75.01
0ORgAzmFh8N97SseJvmqgC,0.479,0.727,0.0357,0.000718,180.09
11FvComd16zZX61DrlP3o1,0.391,0.8,0.0523,0.00977,83.81
4ikBDu58f3peRVRsXxuP2Q,0.59,0.859,0.164,0.0036,92.987
6oe2HcrgnNU66Eyq8BY45Z,0.568,0.907,0.0488,0.00115,112.037
40n8ZJVmwkdNAUBZSv8Xhg,0.437,0.934,0.0915,0.00166,144.135
60FJeNTK5edr72G2xtCWuP,0.577,0.936,0.078,0.043,168.879
